sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
8936005872248,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza Margarita ( Pizza thit nguoi),<p>abc mo ta</p>,<p>abc</p>,350,1,0,104000,,,,pizza-margarita-pizza-thit-nguoi,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872231,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza Italian Style (Pizza nhan Xuc Xich ),<p>abc mo ta</p>,<p>abc</p>,350,1,0,97000,,,,pizza-italian-style-pizza-nhan-xuc-xich,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872217,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza special ( Pizza nhan phomai),<p>abc mo ta</p>,<p>abc</p>,350,1,0,88000,,,,pizza-special-pizza-nhan-phomai,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872224,,DDV,simple,Default Category/Bánh pizza happy,base,Pizza Meat Loves ( Pizza Nhan Thit),<p>abc mo ta</p>,<p>abc</p>,350,1,0,97000,,,,pizza-meat-loves-pizza-nhan-thit,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871470,,DDV,simple,Default Category/Viên ngộ nghĩnh,base,Vien ngo nghinh ca,<p>abc mo ta</p>,<p>abc</p>,420,1,0,54000,,,,vien-ngo-nghinh-ca,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871579,,DDV,simple,Default Category/Viên ngộ nghĩnh,base,Vien ngo nghinh tom,<p>abc mo ta</p>,<p>abc</p>,420,1,0,69000,,,,vien-ngo-nghinh-tom,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870305,,DDV,simple,Default Category/Viên ngộ nghĩnh,base,Vien ngo nghinh bo,<p>abc mo ta</p>,<p>abc</p>,150,1,0,59000,,,,vien-ngo-nghinh-bo,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872088,,DDV,simple,Default Category/Viên ngộ nghĩnh,base,Vien ngo nghinh rau cu,<p>abc mo ta</p>,<p>abc</p>,420,1,0,69000,,,,vien-ngo-nghinh-rau-cu,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873252,,DDV,simple,Default Category/Xôi chiên phồng,base,Xoi chien phong song hy,<p>abc mo ta</p>,<p>abc</p>,480,1,0,39000,,,,xoi-chien-phong-song-hy,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873238,,DDV,simple,Default Category/Xôi chiên phồng,base,Xoi chien phong cot dua,<p>abc mo ta</p>,<p>abc</p>,480,1,0,35000,,,,xoi-chien-phong-cot-dua,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873245,,DDV,simple,Default Category/Xôi chiên phồng,base,Xoi chien phong la dua,<p>abc mo ta</p>,<p>abc</p>,480,1,0,37000,,,,xoi-chien-phong-la-dua,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873153,,DDV,simple,Default Category/Chay từ tâm,base,Chay tu tam gio lua,<p>abc mo ta</p>,<p>abc</p>,480,1,0,52000,,,,chay-tu-tam-gio-lua,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873184,,DDV,simple,Default Category/Chay từ tâm,base,Chay tu tam gio thu,<p>abc mo ta</p>,<p>abc</p>,480,1,0,91000,,,,chay-tu-tam-gio-thu,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873146,,DDV,simple,Default Category/Chay từ tâm,base,Chay tu tam ga vien,<p>abc mo ta</p>,<p>abc</p>,230,1,0,65000,,,,chay-tu-tam-ga-vien,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873160,,DDV,simple,Default Category/Chay từ tâm,base,Chay tu tam cha que hoa,<p>abc mo ta</p>,<p>abc</p>,230,1,0,52000,,,,chay-tu-tam-cha-que-hoa,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873177,,DDV,simple,Default Category/Chay từ tâm,base,Chay tu tam cha com,<p>abc mo ta</p>,<p>abc</p>,230,1,0,52000,,,,chay-tu-tam-cha-com,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872309,,DDV,simple,Default Category/Chay từ tâm,base,Chay tu tam cha gio,<p>abc mo ta</p>,<p>abc</p>,270,1,0,39000,,,,chay-tu-tam-cha-gio,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873269,,DDV,simple,Default Category/Chay từ tâm,base,Chay tu tam tom chien,<p>abc mo ta</p>,<p>abc</p>,230,1,0,48000,,,,chay-tu-tam-tom-chien,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870633,,DDV,simple,Default Category/Chả,base,Cha muc gia tay,<p>abc mo ta</p>,<p>abc</p>,480,1,0,217000,,,,cha-muc-gia-tay,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873504,,DDV,simple,Default Category/Thịt xiên que,base,Thit xien que,<p>abc mo ta</p>,<p>abc</p>,285,1,0,128000,,,,thit-xien-que-8936005873504,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 2:01 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871562,,DDV,simple,Default Category/Pho mai,base,Phomai que,<p>abc mo ta</p>,<p>abc</p>,300,1,0,102000,,,,phomai-que,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871951,,DDV,simple,Default Category/Nem chua rán,base,Nem chua ran,<p>abc mo ta</p>,<p>abc</p>,240,1,0,64000,,,,nem-chua-ran-240,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 2:07 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005871340,,DDV,simple,Default Category/Lẩu sum vầy,base,Lau thai chua cay,<p>abc mo ta</p>,<p>abc</p>,352,1,0,71000,,,,lau-thai-chua-cay,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873399,,DDV,simple,Default Category/Niêu tình quê,base,Nieu tinh que ca Saba,<p>abc mo ta</p>,<p>abc</p>,300,1,0,65000,,,,nieu-tinh-que-ca-saba,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005873382,,DDV,simple,Default Category/Niêu tình quê,base,Nieu tinh que ca Basa,<p>abc mo ta</p>,<p>abc</p>,300,1,0,65000,,,,nieu-tinh-que-ca-basa,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/20,8/18/20,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
